"module name","license","repository"
"@babel/template@7.24.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.24.7","MIT","https://github.com/babel/babel"
"@babel/types@7.24.7","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@egjs/hammerjs@2.0.17","MIT","https://github.com/naver/hammer.js"
"@expo/bunyan@4.0.0","MIT","https://github.com/trentm/node-bunyan"
"@expo/cli@0.18.18","MIT","https://github.com/expo/expo"
"@expo/code-signing-certificates@0.0.5","MIT","https://github.com/expo/code-signing-certificates"
"@expo/config-plugins@8.0.5","MIT","https://github.com/expo/expo"
"@expo/config-types@51.0.0","MIT","https://github.com/expo/expo"
"@expo/config@9.0.1","MIT","https://github.com/expo/expo"
"@expo/devcert@1.1.2","MIT","https://github.com/expo/devcert"
"@expo/env@0.3.0","MIT","https://github.com/expo/expo"
"@expo/image-utils@0.5.1","MIT","https://github.com/expo/expo"
"@expo/json-file@8.3.3","MIT","https://github.com/expo/expo"
"@expo/metro-config@0.18.6","MIT","https://github.com/expo/expo"
"@expo/metro-runtime@3.2.1","MIT","https://github.com/expo/expo"
"@expo/ngrok-bin-linux-x64@2.3.41","UNKNOWN","https://github.com/expo/ngrok"
"@expo/ngrok-bin@2.3.42","UNKNOWN","https://github.com/expo/ngrok"
"@expo/ngrok@4.1.3","BSD-2-Clause","https://github.com/expo/ngrok"
"@expo/osascript@2.1.3","MIT","https://github.com/expo/expo"
"@expo/package-manager@1.5.2","MIT","https://github.com/expo/expo"
"@expo/plist@0.1.3","MIT","https://github.com/expo/expo"
"@expo/prebuild-config@7.0.6","MIT","https://github.com/expo/expo"
"@expo/rudder-sdk-node@1.1.1","MIT","https://github.com/expo/rudder-sdk-node"
"@expo/sdk-runtime-versions@1.0.0","MIT",""
"@expo/server@0.4.2","MIT","https://github.com/expo/expo"
"@expo/spawn-async@1.7.2","MIT","https://github.com/expo/spawn-async"
"@expo/vector-icons@14.0.2","MIT","https://github.com/expo/vector-icons"
"@expo/xcpretty@4.3.1","BSD-3-Clause","https://github.com/expo/expo-cli"
"@google-cloud/firestore@7.8.0","Apache-2.0","https://github.com/googleapis/nodejs-firestore"
"@gorhom/bottom-sheet@4.4.8","MIT","https://github.com/gorhom/react-native-bottom-sheet"
"@gorhom/portal@1.0.14","MIT","https://github.com/gorhom/react-native-portal"
"@graphql-typed-document-node/core@3.2.0","MIT","https://github.com/dotansimha/graphql-typed-document-node"
"@grpc/grpc-js@1.10.9","Apache-2.0","https://github.com/grpc/grpc-node/tree/master/packages/grpc-js"
"@grpc/proto-loader@0.7.13","Apache-2.0","https://github.com/grpc/grpc-node"
"@hapi/hoek@9.3.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/topo@5.1.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@ide/backoff@1.0.0","MIT","https://github.com/ide/backoff"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/ttlcache@1.4.1","ISC","https://github.com/isaacs/ttlcache"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/console@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/core@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/create-cache-key-function@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/environment@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/expect-utils@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/expect@29.7.0","MIT","https://github.com/jestjs/jest"
